Counter,Date/Time,OrientPitch,OrientRoll,OrientYaw,MagnetX,MagnetY,MagnetZ,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,Lat,Long
1,2022-05-13 20:11:04.355141,-0.4176,1.0598,0.7599,4.7581,-0.071,3.8864,-0.0013,0.0029,-0.0011,0.0198,0.0407,0.0246,21.4089,134.3679
2,2022-05-13 20:11:09.451237,-0.4166,1.06,0.7459,10.0483,-0.2341,7.7236,-0.0001,0.0029,-0.0002,0.0159,0.042,0.0249,21.1615,134.5819
3,2022-05-13 20:11:14.547309,-0.4161,1.0594,0.7607,12.4215,-0.1518,9.4921,-0.0019,0.0013,-0.0005,0.0193,0.041,0.0268,20.9139,134.795
4,2022-05-13 20:11:19.656843,-0.4133,1.0441,0.7534,13.2546,-0.5625,9.9656,-0.0036,0.0004,0.0018,0.0168,0.0412,0.0246,20.6652,135.008
5,2022-05-13 20:11:24.764560,-0.4134,1.036,0.7442,13.3777,-0.6779,9.946,0.0011,0.0002,-0.0003,0.0178,0.0403,0.0249,20.4164,135.22
6,2022-05-13 20:11:31.155022,-0.4123,1.0369,0.7384,13.4019,-0.5944,10.1035,-0.0008,-0.0007,-0.0003,0.0154,0.041,0.0268,20.1046,135.4843
7,2022-05-13 20:11:36.251034,-0.4136,1.0219,0.7332,13.4794,-0.4198,9.2702,-0.0007,-0.0016,-0.0013,0.0215,0.0405,0.0251,19.8556,135.6943
8,2022-05-13 20:11:41.357773,-0.4105,1.032,0.6996,13.416,-0.436,9.489,-0.0001,0.0003,-0.0,0.0205,0.0422,0.0249,19.6058,135.9039
9,2022-05-13 20:11:46.467818,-0.3997,1.0175,0.7,13.466,-0.527,9.2345,-0.0,-0.0009,-0.0012,0.0181,0.042,0.0259,19.3555,136.113
10,2022-05-13 20:11:51.574894,-0.3916,1.0113,0.6862,13.4873,-0.6933,8.9688,0.0003,0.0,0.0,0.019,0.0407,0.0266,19.1051,136.3213
11,2022-05-13 20:11:57.548352,-0.396,0.9977,0.6907,13.4463,-0.9857,8.4882,0.0016,-0.0003,0.0008,0.0183,0.0427,0.0254,18.8119,136.5639
12,2022-05-13 20:12:02.658010,-0.3939,0.9983,0.6877,13.3182,-0.8746,7.9438,-0.0005,-0.0003,0.0024,0.0181,0.0415,0.0261,18.5607,136.7708
13,2022-05-13 20:12:07.757904,-0.3918,1.004,0.6681,13.3792,-1.1235,8.0177,0.0007,-0.0009,0.0005,0.0161,0.0405,0.0249,18.3097,136.9766
14,2022-05-13 20:12:12.863546,-0.3836,1.0047,0.6559,13.3767,-0.9961,8.1875,0.0028,-0.0012,-0.001,0.0166,0.041,0.0264,18.0582,137.182
15,2022-05-13 20:12:17.970589,-0.383,1.0179,0.6462,13.3978,-0.9089,7.7068,-0.0003,-0.0005,0.0006,0.0139,0.0417,0.0256,17.8063,137.3868
16,2022-05-13 20:12:23.942556,-0.3708,1.0128,0.6255,13.1704,-0.9478,7.4964,-0.0026,-0.0008,0.0015,0.0215,0.0422,0.0271,17.5115,137.6255
17,2022-05-13 20:12:29.038009,-0.3777,1.0169,0.612,13.1912,-1.1039,7.3534,0.0002,-0.0022,-0.0006,0.0159,0.0415,0.0261,17.2596,137.8284
18,2022-05-13 20:12:34.139074,-0.3634,1.0184,0.5991,13.0983,-0.9544,7.0781,0.0017,-0.0016,0.0,0.0188,0.0407,0.0254,17.0072,138.031
19,2022-05-13 20:12:39.233991,-0.3569,1.0285,0.5898,13.3218,-0.8173,6.6519,0.0005,-0.0,0.001,0.0224,0.0417,0.0278,16.7549,138.2328
20,2022-05-13 20:12:44.340547,-0.3549,1.0263,0.5827,13.6521,-0.9461,6.5759,-0.0026,-0.0012,0.0007,0.0181,0.0422,0.0268,16.5018,138.4344
21,2022-05-13 20:12:50.679842,-0.3547,1.0375,0.5496,13.3365,-0.8318,6.5968,0.001,-0.0023,-0.0001,0.0168,0.041,0.029,16.1871,138.6839
22,2022-05-13 20:12:55.773669,-0.3545,1.033,0.5414,13.1264,-0.7306,6.7068,-0.0002,-0.0008,0.0002,0.0159,0.0415,0.0266,15.9341,138.8837
23,2022-05-13 20:13:01.029712,-0.3514,1.0511,0.5407,13.0223,-0.6579,5.6626,-0.0005,-0.0011,-0.0019,0.0207,0.0427,0.0273,15.6727,139.0893
24,2022-05-13 20:13:06.252264,-0.3627,1.0413,0.5339,12.9594,-1.0168,4.9187,0.0001,0.0004,0.0011,0.0229,0.0405,0.0261,15.4128,139.293
